recordType,university,courseCode,courseName,courseCredits,courseLevel,subject,verificationStatus,sourceType,sourceUrl,sourceRetrievedAt,note
course,Göteborgs universitet,FEK3L1,"Strategisk logistik, kandidatkurs",7.5,grundnivå,Företagsekonomi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,EKG204,Ekonomisk geografi: Självständigt uppsatsarbete,7.5,grundnivå,Ekonomisk geografi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,EKG301,"Ekonomisk geografi, kandidatkurs: Aktuella forskningsteman",7.5,grundnivå,Ekonomisk geografi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,EKG305,Ekonomisk geografi: kandidatuppsats,15,grundnivå,Ekonomisk geografi,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,EN2104,Litteratur från Södra Afrika: Miljöteoretiska perspektiv,7.5,avancerad nivå,Engelska,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,EN2222,Sociolingvistik med inriktning mot variation,7.5,avancerad nivå,Engelska,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT005,Speciella ämnen i programvaruteknik,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT013,Imperativ programmering med grundläggande objektorientering,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT034,Systematisk Datahantering,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT047,Kravhantering,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT104,Interaktionsdesignmetodologi,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT117,Integritetsskydd för personuppgifter,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT143,Programvaruarkitektur,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT147,Maskinorienterad programmering,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT182,Data-driven support for cyber-physical systems,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT193,Kandidatarbete i datavetenskap,15,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT214,Artificiell intelligens,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT247,Objektorienterad programmering,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT249,Naturlig språkbehandling och stora språkmodeller,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT260,Avancerad funktionell programmering,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT261,Parallell Funktionell Programmering,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT343,Projekt: Webbutveckling,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT348,Mjukvaruutvecklingsprocesser,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT407,Introduction to Data science and AI,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT423,Datakommunikation,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT441,Introduktion till funktionell programmering,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT461,Spelutvecklingsprojekt,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT464,Introduktion till tillämpad IT,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT471,Agil utveckling och projektledning,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT487,Introduktion till bioinformatik,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT515,Programvaruteknik för AI-system,7.5,avancerad nivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,DIT531,Algoritmer,7.5,grundnivå,Datavetenskap,verified,official-gu,,2026-09-15,Verifierad mot officiell GU-källa.
course,Göteborgs universitet,AE1050,Introduktion till arkeologi,7.5,grundnivå,Arkeologi,verified,official-gu,https://kursplaner.gu.se/pdf/kurs/sv/AE1050.pdf,2026-09-15,Verifierad mot officiell GU-källa i slutkörning 2026-09-15.
course,Göteborgs universitet,ASF030,Galaxerna i universum,7.5,grundnivå,Fysik,verified,official-gu,https://kursplaner.gu.se/pdf/kurs/sv/ASF030.pdf,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF040,Planetsystem och rymdsonder,7.5,grundnivå,Fysik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/planetsystem-och-rymdsonder-asf040,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF902,Astronomisk Rymdforskning,7.5,grundnivå,Fysik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/astronomisk-rymdforskning-asf902,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF905,Interstellär kommunikation,7.5,grundnivå,Fysik,verified,official-gu,https://kursplaner.gu.se/pdf/kurs/sv/ASF905.pdf,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF907,Etnoastronomi,7.5,grundnivå,Fysik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/etnoastronomi-asf907,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF908,Astronomi - Astrologi,7.5,grundnivå,Fysik,verified,official-gu,https://kursplaner.gu.se/pdf/kurs/sv/ASF908.pdf,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF912,Svarta hål och relativitetsteori - en visuell resa,7.5,grundnivå,Fysik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/svarta-hal-och-relativitetsteori-en-visuell-resa-asf912,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF914,Solsystemets mindre medlemmar,7.5,grundnivå,Fysik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/solsystemets-mindre-medlemmar-asf914,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASF915,Månen,7.5,grundnivå,Fysik,verified,official-gu,https://kursplaner.gu.se/pdf/kurs/sv/ASF915.pdf,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASP79,Andraämne: Spanska 7-9,60,grundnivå,Spanska,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-spanska-7-9-asp79,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ASPGY,Andraämne: Spanska GY,90,grundnivå,Spanska,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-spanska-gy-aspgy,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ATAGY,Andraämne: Teater GY,90,grundnivå,Teater,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-teater-gy-atagy,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ATK79,Andraämne: Teknik 7-9,60,grundnivå,Teknik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-teknik-7-9-atk79,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ATKGY,Andraämne: Teknik GY,90,grundnivå,Teknik,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-teknik-gy-atkgy,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ATY79,Andraämne: Tyska 7-9,60,grundnivå,Tyska,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-tyska-7-9-aty79,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,ATYGY,Andraämne: Tyska GY,90,grundnivå,Tyska,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/andraamne-tyska-gy-atygy,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
course,Göteborgs universitet,BI983,Kurspaket: BIO900 och BIO283,30,grundnivå,Biologi,verified,official-gu,https://www.gu.se/studera/hitta-utbildning/kurspaket-bio900-och-bio283-bi983,2026-09-15,Verifierad mot officiell GU-källa 2026-09-15.
